name,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
Knowles,,,,,,,,,,,28.0275,51.164,29.6665
Merry Hill,57.81772690684909,77.55081082049813,200.95942085859411,298.2803047630264,340.839525934991,337.7131180822956,313.47807602306244,278.98514439107817,191.1514991397673,88.06277377928886,65.89462821563166,44.16739013087825,25.63440131902343
Metro Centre,43.9585,62.68925,155.20475,244.1425,336.65999999999997,310.407,269.90574999999995,248.110625,167.11625,95.33475,44.059999999999995,24.864750000000004,15.413125
Oasis - Bank Leaze,,,,,,259.5005,344.69,299.441,209.8715,97.00199999999998,74.789,55.3155,32.53275
Oasis - Connaught,,,,,,260.0755,356.44849999999997,313.60275,234.063,113.9765,102.6365,79.01099999999998,45.168
Oasis - Henderson Avenue,,,,,,269.5475,303.0545,285.99725,221.89250000000004,99.538,71.8425,57.62349999999999,27.36875
Oasis - Immingham,48.91791304347826,67.67528260869565,201.2876956521739,150.3851195652174,349.58599999999996,351.1818043478261,290.7714130434782,247.9867826086956,187.45052173913044,101.32321739130434,51.63108695652174,33.36410869565218,18.997967391304343
Oasis - Isle of Sheppey East,,,,,,201.32175000000004,164.137625,308.91724999999997,235.385,125.3065,85.034,63.56575,37.6125
Oasis - Isle of Sheppey West,102.05723333333334,134.29534444444445,370.9830444444445,249.10621111111112,560.610588888889,599.2356333333335,493.69656666666674,459.8538555555556,343.4852444444445,180.85602222222224,118.81503333333336,87.42565555555557,52.04667777777778
Oasis - John Williams,,,,,,257.2574949109415,344.2409516539441,285.7132321882952,191.63566539440205,91.01057760814253,60.301866412213755,43.75293384223919,26.14915330788804
Oasis - Lister Park,16.74212103929024,26.596662864385294,77.65501774397971,,208.3084592130518,180.7241078784758,154.728789392379,133.21205664263644,101.13683469289826,52.011463531669854,37.75762737642585,26.72017617237009,18.050928707224333
Oasis - Media City,,,,,,,,181.75925,186.6035,86.1,65.354,45.614,26.08175
